	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Olfr175-ps1	19.286144825538	-0.239391153658334	0.383137694621112	-0.624817544760428	0.532090814301048	0.860182165879821
Olfr525	21.969052532977	0.503260771052379	0.359707292064389	1.39908415023817	0.161787750055749	0.598095960086225
Olfr527	5.87965710635175	-0.435682137757307	0.422573153091465	-1.03102181141878	0.302530591579608	0.73510231829064
Olfr530	10.3929417676132	-0.219841782444298	0.408384722452104	-0.538320290544369	0.59035594551414	0.886180104151053
Olfr536	13.1361222173413	0.000112477153717232	0.350191682836913	0.000321187393161515	0.999743729542278	0.999819487545049
Olfr543	15.4895557797837	0.339316209984917	0.398136844808001	0.852260257772803	0.394069658677519	0.795662406867932
Olfr56	14.6631022295101	0.526070285215127	0.346258228631412	1.51930045762211	0.128686884607018	0.548738012660013
Olfr60	14.7827805469003	-0.860725153034037	0.355540540271986	-2.42089172834014	0.0154824879027365	0.21211477119622
Olfr920	11.8235277016864	0.381256964829979	0.407243448453854	0.936189314468936	0.349175723863874	0.766981514471308
Olfr99	10.0361451453851	0.043606627125856	0.396074269378038	0.110097096674147	0.91233237067975	0.984793277147209
Oma1	541.912040782131	-0.0662557399765311	0.106705653270778	-0.620920616158915	0.534651855820231	0.860614993397504
Omg	13.6396975753953	-0.00728328981618755	0.396274198587735	-0.0183794197102515	0.985336170362431	0.996927562809785
Opa1	2087.3172455593	0.153782980367771	0.0718529508697401	2.14024585638187	0.0323349030604418	0.303473949413369
Opa3	490.487176371499	-0.123462257861922	0.106967674974012	-1.15420156502343	0.248417541111671	0.69000919715081
Oplah	23.4562056103337	-0.567357400659009	0.355050089960296	-1.59796439066514	0.110050902255742	0.51930874214587
Opn1sw	16.6640144853866	0.496456285928219	0.406338339034145	1.22178056618601	0.221790619580401	0.66370977342806
Opn3	49.9381572308989	-0.0821356068106301	0.255951699764335	-0.320902759724806	0.748284082497954	0.939493967896112
Optc	10.4192773596095	-0.387443296770984	0.420161078567331	-0.922130384118615	0.356460569972836	0.772060016235032
Optn	279.288367993086	0.0805469091833624	0.142111679624433	0.566785991103816	0.57085958944299	0.877645358689745
